,Fold,Corruption,Severity,LogLikelihood
0,1,brightness,1,-3488.50634765625
1,1,brightness,2,-3492.719970703125
2,1,brightness,3,-3497.84716796875
3,1,brightness,4,-3503.08642578125
4,1,contrast,1,-3707.91650390625
5,1,contrast,2,-4065.739501953125
6,1,contrast,3,-4247.78955078125
7,1,contrast,4,-4436.8974609375
8,1,contrast,5,-4677.73046875
9,1,defocus_blur,1,-3492.63720703125
10,1,defocus_blur,2,-3502.78955078125
11,1,defocus_blur,3,-3511.964111328125
12,1,defocus_blur,4,-3517.9736328125
13,1,defocus_blur,5,-3535.393310546875
14,1,elastic,1,-3513.97119140625
15,1,elastic,2,-3515.043701171875
16,1,elastic,3,-3516.718505859375
17,1,elastic,4,-3518.3359375
18,1,elastic,5,-3518.812744140625
19,1,fog,1,-3504.080810546875
20,1,fog,2,-3568.333251953125
21,1,fog,3,-3605.896728515625
22,1,fog,4,-3637.18408203125
23,1,fog,5,-3627.943115234375
24,1,frost,1,-3531.40966796875
25,1,frost,2,-3586.73388671875
26,1,frost,3,-3652.45751953125
27,1,frost,4,-3655.69677734375
28,1,frost,5,-3709.273681640625
29,1,frosted_glass_blur,1,-3514.587158203125
30,1,frosted_glass_blur,2,-3515.724853515625
31,1,frosted_glass_blur,3,-3520.011962890625
32,1,frosted_glass_blur,4,-3531.6240234375
33,1,frosted_glass_blur,5,-3534.02880859375
34,1,gaussian_blur,1,-3492.528076171875
35,1,gaussian_blur,2,-3512.60205078125
36,1,gaussian_blur,3,-3521.93994140625
37,1,gaussian_blur,4,-3531.2705078125
38,1,gaussian_blur,5,-3551.13671875
39,1,gaussian_noise,1,-3504.841552734375
40,1,gaussian_noise,2,-3526.62158203125
41,1,gaussian_noise,3,-3555.355224609375
42,1,gaussian_noise,4,-3569.439697265625
43,1,gaussian_noise,5,-3586.193115234375
44,1,impulse_noise,1,-3524.272705078125
45,1,impulse_noise,2,-3558.099609375
46,1,impulse_noise,3,-3589.746337890625
47,1,impulse_noise,4,-3646.573486328125
48,1,impulse_noise,5,-3699.1044921875
49,1,jpeg_compression,1,-3485.312744140625
50,1,jpeg_compression,2,-3485.020751953125
51,1,jpeg_compression,3,-3484.760009765625
52,1,jpeg_compression,4,-3485.552734375
53,1,jpeg_compression,5,-3484.7294921875
54,1,motion_blur,1,-3503.9560546875
55,1,motion_blur,2,-3519.009521484375
56,1,motion_blur,3,-3533.53759765625
57,1,motion_blur,4,-3533.7783203125
58,1,motion_blur,5,-3550.00927734375
59,1,pixelate,1,-3490.75439453125
60,1,pixelate,2,-3494.77001953125
61,1,pixelate,3,-3497.80078125
62,1,pixelate,4,-3504.36279296875
63,1,pixelate,5,-3509.12451171875
64,1,saturate,1,-3547.32568359375
65,1,saturate,2,-3559.5400390625
66,1,saturate,3,-3445.68359375
67,1,saturate,4,-3380.485595703125
68,1,saturate,5,-3326.539306640625
69,1,shot_noise,1,-3498.7041015625
70,1,shot_noise,2,-3509.80517578125
71,1,shot_noise,3,-3538.75390625
72,1,shot_noise,4,-3554.080810546875
73,1,shot_noise,5,-3583.650390625
74,1,snow,1,-3495.272705078125
75,1,snow,2,-3509.182373046875
76,1,snow,3,-3500.907958984375
77,1,snow,4,-3509.910400390625
78,1,snow,5,-3550.3408203125
79,1,spatter,1,-3486.8896484375
80,1,spatter,2,-3484.9736328125
81,1,spatter,3,-3477.660888671875
82,1,spatter,4,-3468.199951171875
83,1,spatter,5,-3461.60205078125
84,1,speckle_noise,1,-3498.874755859375
85,1,speckle_noise,2,-3519.715576171875
86,1,speckle_noise,3,-3531.5283203125
87,1,speckle_noise,4,-3562.443115234375
88,1,speckle_noise,5,-3596.656005859375
89,1,zoom_blur,1,-3507.818115234375
90,1,zoom_blur,2,-3506.710693359375
91,1,zoom_blur,3,-3509.93603515625
92,1,zoom_blur,4,-3510.803955078125
93,1,zoom_blur,5,-3516.262451171875
94,2,brightness,1,-3490.72314453125
95,2,brightness,2,-3494.09765625
96,2,brightness,3,-3498.388916015625
97,2,brightness,4,-3503.067138671875
98,2,brightness,5,-3512.07470703125
99,2,contrast,1,-3751.603271484375
100,2,contrast,2,-4170.890625
101,2,contrast,3,-4382.81298828125
102,2,contrast,4,-4602.2353515625
103,2,contrast,5,-4881.07275390625
104,2,defocus_blur,1,-3498.501953125
105,2,defocus_blur,2,-3512.964111328125
106,2,defocus_blur,3,-3525.49951171875
107,2,defocus_blur,4,-3533.77197265625
108,2,defocus_blur,5,-3556.087890625
109,2,elastic,1,-3521.813232421875
110,2,elastic,2,-3524.27587890625
111,2,elastic,3,-3530.007080078125
112,2,elastic,4,-3532.669677734375
113,2,elastic,5,-3533.783935546875
114,2,fog,1,-3510.939208984375
115,2,fog,2,-3584.179931640625
116,2,fog,3,-3627.583984375
117,2,fog,4,-3667.021240234375
118,2,fog,5,-3654.130859375
119,2,frost,1,-3537.412109375
120,2,frost,2,-3599.185302734375
121,2,frost,3,-3673.602294921875
122,2,frost,4,-3681.419189453125
123,2,frost,5,-3741.86083984375
124,2,frosted_glass_blur,1,-3517.855224609375
125,2,frosted_glass_blur,2,-3520.513916015625
126,2,frosted_glass_blur,3,-3529.102294921875
127,2,frosted_glass_blur,4,-3536.076416015625
128,2,frosted_glass_blur,5,-3543.983154296875
129,2,gaussian_blur,1,-3498.34716796875
130,2,gaussian_blur,2,-3526.370849609375
131,2,gaussian_blur,3,-3538.614013671875
132,2,gaussian_blur,4,-3550.534912109375
