,Fold,Corruption,Severity,LogLikelihood
0,1,brightness,1,-89718.72
1,1,brightness,2,-88837.29
2,1,brightness,3,-87734.46
3,1,brightness,4,-86485.19
4,1,brightness,5,-83460.36
5,1,contrast,1,-79683.09
6,1,contrast,2,-62106.086
7,1,contrast,3,-52491.44
8,1,contrast,4,-41676.34
9,1,contrast,5,-25411.355
10,1,defocus_blur,1,-90967.734
11,1,defocus_blur,2,-91982.62
12,1,defocus_blur,3,-92739.25
13,1,defocus_blur,4,-93235.81
14,1,defocus_blur,5,-94113.586
15,1,elastic,1,-88197.4
16,1,elastic,2,-88740.27
17,1,elastic,3,-90437.0
18,1,elastic,4,-90956.91
19,1,elastic,5,-91398.95
20,1,fog,1,-90838.24
21,1,fog,2,-92054.67
22,1,fog,3,-94908.39
23,1,fog,4,-93288.92
24,1,fog,5,-97548.195
25,1,frost,1,-85869.87
26,1,frost,2,-82152.8
27,1,frost,3,-80683.945
28,1,frost,4,-82065.445
29,1,frost,5,-82165.125
30,1,frosted_glass_blur,1,-90224.21
31,1,frosted_glass_blur,2,-90676.336
32,1,frosted_glass_blur,3,-92232.08
33,1,frosted_glass_blur,4,-89944.43
34,1,frosted_glass_blur,5,-91450.81
35,1,gaussian_blur,1,-90969.47
36,1,gaussian_blur,2,-92801.16
37,1,gaussian_blur,3,-93389.25
38,1,gaussian_blur,4,-93855.1
39,1,gaussian_blur,5,-94548.91
40,1,gaussian_noise,1,-88845.51
41,1,gaussian_noise,2,-87056.99
42,1,gaussian_noise,3,-85261.62
43,1,gaussian_noise,4,-83849.04
44,1,gaussian_noise,5,-82797.516
45,1,impulse_noise,1,-87588.12
46,1,impulse_noise,2,-85230.08
47,1,impulse_noise,3,-83174.46
48,1,impulse_noise,4,-78798.36
49,1,impulse_noise,5,-75500.39
50,1,jpeg_compression,1,-90130.79
51,1,jpeg_compression,2,-90198.49
52,1,jpeg_compression,3,-90192.61
53,1,jpeg_compression,4,-90343.06
54,1,jpeg_compression,5,-90496.125
55,1,motion_blur,1,-92244.94
56,1,motion_blur,2,-93088.48
57,1,motion_blur,3,-93063.63
58,1,motion_blur,4,-92877.29
59,1,motion_blur,5,-92908.03
60,1,pixelate,1,-89998.22
