    ,corruption,fold,wasserstein_distance
    0,brightness_1,0,26907.132453153212
    1,brightness_2,0,26907.108870574317
    2,brightness_3,0,26907.081824467496
    3,brightness_4,0,26907.052610896582
    4,brightness_5,0,26906.990949691954
    5,contrast_1,0,26907.224578800786
    6,contrast_2,0,26907.283186709024
    7,contrast_3,0,26907.30326657469
    8,contrast_4,0,26907.321125970142
    9,contrast_5,0,26907.342048326096
    10,defocus_blur_1,0,26907.160374147516
    11,defocus_blur_2,0,26907.172967619623
    12,defocus_blur_3,0,26907.183331774202
    13,defocus_blur_4,0,26907.19010615862
    14,defocus_blur_5,0,26907.206442464056
    15,elastic_1,0,26907.170924369668
    16,elastic_2,0,26907.174599720034
    17,elastic_3,0,26907.18226754619
    18,elastic_4,0,26907.184585402447
    19,elastic_5,0,26907.18415887492
    20,fog_1,0,26907.21585959473
    21,fog_2,0,26907.26438353686
    22,fog_3,0,26907.28672052215
    23,fog_4,0,26907.297917056272
    24,fog_5,0,26907.30788007806
    25,frost_1,0,26907.091834404302
    26,frost_2,0,26907.041300809247
    27,frost_3,0,26907.04604284946
    28,frost_4,0,26907.079091451193
    29,frost_5,0,26907.113843627732
    30,frosted_glass_blur_1,0,26907.160844440295
    31,frosted_glass_blur_2,0,26907.16484451097
    32,frosted_glass_blur_3,0,26907.17617198986
    33,frosted_glass_blur_4,0,26907.166944912216
    34,frosted_glass_blur_5,0,26907.1783783293
    35,gaussian_blur_1,0,26907.16019801669
    36,gaussian_blur_2,0,26907.183502894335
    37,gaussian_blur_3,0,26907.192560025887
    38,gaussian_blur_4,0,26907.20063045715
    39,gaussian_blur_5,0,26907.21520577702
    40,gaussian_noise_1,0,26907.150774492617
    41,gaussian_noise_2,0,26907.148380604
    42,gaussian_noise_3,0,26907.1451604339
    43,gaussian_noise_4,0,26907.14329097318
    44,gaussian_noise_5,0,26907.14131776553
    45,impulse_noise_1,0,26907.148238151964
    46,impulse_noise_2,0,26907.14524405222
    47,impulse_noise_3,0,26907.14235337508
    48,impulse_noise_4,0,26907.137309974896
    49,impulse_noise_5,0,26907.132814212495
